model,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_roc_auc_std,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_pr_auc,test_brier,seconds
Logistic Regression,0.772,0.7589086495435,0.6995336617405583,0.7279215126690068,0.854384883192622,0.8225242654210604,0.01815874036453822,0.776,0.7523809523809524,0.7247706422018348,0.7383177570093458,0.8519747543756913,0.8067728263588065,0.15460588346089973,3.082638740539551
SVM (RBF),0.7655000000000001,0.751897172147992,0.6915139573070608,0.719989856959782,0.8422823445757105,0.7919077947752566,0.014904350351171654,0.78,0.7523364485981309,0.7385321100917431,0.7453703703703703,0.8337237295855293,0.7682621383904662,0.16309105844426408,6.018783092498779
XGBoost,0.7635000000000001,0.7369688720195204,0.7132807881773399,0.7244163306311886,0.8414368775157302,0.804108323925924,0.01913868657089338,0.754,0.7209302325581395,0.7110091743119266,0.7159353348729792,0.8352690480838051,0.7852994301873842,0.16420991628287004,4.527921676635742
Random Forest,0.764,0.7390736982624146,0.709799671592775,0.7236655413502963,0.8360275714818529,0.7897908863277796,0.02069643277166248,0.78,0.7647058823529411,0.7155963302752294,0.7393364928909952,0.832015745982172,0.7776873349402711,0.1639859773461712,9.668068170547485
KNN,0.7635,0.7608661394763202,0.6685320197044335,0.7114693978837281,0.8203730448387269,0.7661039987537109,0.018151360272755906,0.726,0.69377990430622,0.6651376146788991,0.6791569086651054,0.7915690676036178,0.7272790317995185,0.18372444444444447,5.997074842453003
Decision Tree,0.7175,0.6790661574975914,0.6777077175697865,0.6747065230455481,0.7722955889775298,0.6843703782359386,0.015822278500459877,0.722,0.6820276497695853,0.6788990825688074,0.6804597701149425,0.795529962912356,0.7116385055603168,0.185109255500175,3.1706037521362305
