model,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_roc_auc_std,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_pr_auc,test_brier,seconds
Logistic Regression,0.8175000000000001,0.7909877626888207,0.7329113924050633,0.7604368682392295,0.8937075007846008,0.8625951111088025,0.021761029442361433,0.796,0.7777777777777778,0.6751269035532995,0.7228260869565217,0.8935769211438911,0.836841819357275,0.12948042950196434,3.029693126678467
XGBoost,0.8035,0.7862898026575327,0.6924050632911392,0.7359836067161084,0.8830526205670051,0.8479299820178111,0.0223143300623634,0.802,0.8223684210526315,0.6345177664974619,0.7163323782234957,0.8740932468881406,0.8143249651408363,0.13950749035186863,4.3676917552948
Decision Tree,0.8039999999999999,0.7968085386505838,0.6772151898734179,0.7311920863399655,0.8724317397217283,0.8122542172941742,0.0166486333244396,0.804,0.8561151079136691,0.6040609137055838,0.7083333333333334,0.8834246368799317,0.8102926160370408,0.1374055589436079,2.8390512466430664
Random Forest,0.7915,0.76023410546385,0.6911392405063291,0.7236074977642525,0.8694659483209541,0.8352481492365103,0.025728586210091057,0.8,0.793939393939394,0.6649746192893401,0.7237569060773481,0.8583538556901373,0.8003904196815448,0.1487029421293131,9.275543928146362
KNN,0.797,0.7771829154793132,0.6848101265822786,0.7275646607504408,0.8688879589915264,0.8214379682509396,0.02534433312559591,0.802,0.7916666666666666,0.6751269035532995,0.7287671232876712,0.8654822335025383,0.781958919024415,0.14504000000000003,1.9532124996185303
SVM (RBF),0.8140000000000001,0.8144569300588451,0.6860759493670885,0.7445031686588266,0.8535254733758763,0.8277400597312843,0.023043481017444665,0.796,0.8187919463087249,0.6192893401015228,0.7052023121387283,0.8556315022365181,0.7823897104443928,0.14764182960064198,3.832859992980957
