model,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_roc_auc_std,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_pr_auc,test_brier,seconds
Logistic Regression,0.799,0.7854998370643406,0.7635527463613964,0.7742449276111238,0.8843786542146919,0.868811831455288,0.008952622316537996,0.825,0.8070953436807096,0.8053097345132744,0.8062015503875969,0.8983835023577289,0.8738386109328189,0.12860700811331077,2.557072401046753
XGBoost,0.79175,0.7808883386916146,0.7497099830121975,0.7646135784778516,0.8770297791991923,0.8598691985670467,0.007861165300033725,0.817,0.802247191011236,0.7898230088495575,0.7959866220735786,0.8949276532523738,0.8722573283556135,0.13097143824011118,3.1450908184051514
SVM (RBF),0.7922500000000001,0.7845097796146075,0.7447284247256698,0.7638729771359352,0.873424632928826,0.8540474898826809,0.010540727389496757,0.811,0.7955056179775281,0.7831858407079646,0.7892976588628763,0.8880543085072025,0.8591271368729819,0.13513292982448138,8.4716477394104
Random Forest,0.7875,0.7774454061091686,0.7436188610520194,0.7594748356232927,0.8701040268587941,0.8501864425900536,0.01260532333464821,0.806,0.7892376681614349,0.7787610619469026,0.7839643652561247,0.8947217557005362,0.8703020639657659,0.1315344614767251,7.205435276031494
KNN,0.7797499999999999,0.7780999201528217,0.7170474893252322,0.745988685468256,0.8530980438195309,0.8107235787529238,0.007638996910972849,0.794,0.7808219178082192,0.7566371681415929,0.7685393258426966,0.8739523448097668,0.831886152582578,0.14268444444444447,2.474487781524658
Decision Tree,0.7645000000000001,0.7689259394680877,0.6910224820556772,0.7251233496522024,0.8527842705423865,0.8148382886829342,0.009265953558467134,0.786,0.8005050505050505,0.7013274336283186,0.7476415094339622,0.8699676216006716,0.8344905668627418,0.14564874332311734,2.8589560985565186
