model,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_roc_auc_std,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_pr_auc,test_brier,seconds
Logistic Regression,0.7395647431976158,0.14930600523341941,0.7527272727272727,0.24907638878482566,0.8342430567991382,0.3082233722729743,0.018758735713709715,0.7472894078398665,0.15588235294117647,0.7681159420289855,0.2591687041564792,0.8215723996408876,0.2275843422143018,0.16807750019359663,3.221088171005249
XGBoost,0.7979922109190811,0.16949392535543978,0.6436363636363637,0.2678816357784664,0.8151090158041177,0.25276118889104204,0.011535706109639924,0.798999165971643,0.1791044776119403,0.6956521739130435,0.28486646884273,0.8133641144029755,0.23788697713430834,0.13744519758581877,4.440622091293335
SVM (RBF),0.8019581549151974,0.17943169902878284,0.6872727272727273,0.2843549381757334,0.8050642757804723,0.21436885440090392,0.02121541436221559,0.9424520433694745,0.0,0.0,0.0,0.7984737719635757,0.1632255075641148,0.050409695853428346,18.141116619110107
Random Forest,0.9200746254035497,0.30454887837766426,0.29818181818181816,0.2993575541187746,0.7967489324491794,0.25904589251869675,0.027058099293702828,0.9132610508757297,0.2602739726027397,0.2753623188405797,0.2676056338028169,0.7956649993587277,0.22017376845455186,0.0664141808893332,10.109455108642578
Decision Tree,0.7838014110906237,0.16375445656394508,0.6727272727272728,0.2632410586349501,0.7905384884032755,0.2198205121460764,0.024016317624226024,0.7898248540450375,0.16727272727272727,0.6666666666666666,0.26744186046511625,0.7665255867641401,0.1952893646772967,0.17244290627618128,3.211789846420288
KNN,0.9432389776232636,0.5009523809523809,0.039999999999999994,0.07339265850945495,0.7706818894558141,0.21171014580528086,0.03371062023261575,0.9399499582985822,0.2,0.014492753623188406,0.02702702702702703,0.7557329742208541,0.16537774958852292,0.05172458530256696,3.2965245246887207
