model,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_roc_auc_std,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_pr_auc,test_brier,seconds
XGBoost,0.985,0.9872585212854601,0.9744896292666994,0.9807634092267223,0.9983904020570282,0.9979487653754757,0.000764890369587307,0.998,1.0,0.9948979591836735,0.9974424552429667,1.0,0.9999999999999999,0.0018871497820358795,2.7269949913024902
SVM (RBF),0.984,0.9909352791775058,0.9681283684468399,0.9791853278360149,0.9982122228644567,0.9978090557584107,0.0011973706649833792,0.998,1.0,0.9948979591836735,0.9974424552429667,0.9999832169709989,0.9999741013156533,0.0025593035272381747,2.014028549194336
Random Forest,0.9804999999999999,0.9782495005682798,0.9719418585660623,0.9750374601579175,0.9981126066781225,0.9975119688852173,0.0013514883843906366,0.994,1.0,0.9846938775510204,0.9922879177377892,0.9998993018259936,0.999845781163082,0.00750690312619269,5.868521451950073
Logistic Regression,0.9804999999999999,0.9857755741415284,0.9643148783276171,0.97475613636845,0.997692873076895,0.9969390312861941,0.0014141255154263266,0.994,0.9948717948717949,0.9897959183673469,0.9923273657289002,0.9999160848549946,0.9998719283631821,0.005978461424669947,3.0580480098724365
KNN,0.9775,0.9960350877192983,0.9464396537644946,0.9703572819161976,0.9937493374786717,0.9921706667308662,0.004125289096524655,0.984,0.9947368421052631,0.9642857142857143,0.9792746113989638,0.9997062969924811,0.9994345890190556,0.010924444444444443,1.8133485317230225
Decision Tree,0.9625,0.9532455308952862,0.9515270292340355,0.952095414027273,0.9838401003803068,0.9707356516901602,0.0048278750816448165,0.988,0.9846938775510204,0.9846938775510204,0.9846938775510204,0.9984391783029001,0.9970396524741594,0.013688493233562839,2.552567720413208
